ID,boxoffice_todate,countries,directors,dvd_release,imdbID,imdbRating,imdbVotes,langs,mpaa_rating,plot,poster_url,prodco,release_date,release_year,runtime,title,actors,watched,genres,writers
10,487739364,USA|UK,Bill Condon,#N/A,tt2771200,7.7,98473,English,PG,An adaptation of the fairy tale about a monstrous-looking prince and a young woman who fall in love.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwNjUxMTM4NV5BMl5BanBnXkFtZTgwODExMDQzMTI@._V1_SX300.jpg,Walt Disney Pictures,3/17/2017,2017,129 min,Beauty and the Beast,Emma Watson|Dan Stevens|Luke Evans|Josh Gad,1,Family|Fantasy|Musical,Stephen Chbosky |Evan Spiliotopoulos |Linda Woolverton 
11,12230741,USA,Ry Russo-Young,#N/A,tt1691916,6.4,2257,English,PG-13,"February 12 is just another day in Sam's charmed life, until it turns out to be her last. Stuck reliving her last day over one inexplicable week, Sam untangles the mystery around her death and discovers everything she's losing.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDYwOTY0MDI2OV5BMl5BanBnXkFtZTgwOTE5NzM2MDI@._V1_SX300.jpg,Open Road Films,3/3/2017,2017,98 min,Before I Fall,Zoey Deutch|Halston Sage|Logan Miller|Kian Lawley,1,Drama|Mystery,Maria Maggenti |Lauren Oliver 
12,0,Canada,George Mendeluk,#N/A,tt3182620,6.2,1121,English,R,"Set in 1930s Ukraine, as Stalin advances the ambitions of communists in the Kremlin, young artist Yuri battles to save his lover Natalka from the Holodomor, the death-by-starvation program that ultimately killed millions of Ukrainians.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwMTczNzUxNV5BMl5BanBnXkFtZTgwNzA4Mjc2MDI@._V1_SX300.jpg,#N/A,2/23/2017,2017,103 min,Bitter Harvest,Barry Pepper|Max Irons|Aneurin Barnard|Terence Stamp,1,Drama|Romance|War,Richard Bachynsky Hoover |George Mendeluk |Richard Bachynsky Hoover 
13,24655,USA,Sarah Adina Smith,#N/A,tt5173032,7.2,222,English,#N/A,"In this bold thriller spiked with dark humor, Rami Malek (Mr. Robot) is a family man whose chance encounter with a conspiracy-obsessed drifter leaves him on the run from the police and an impending event known as The Inversion.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTE4Njg2NDA5Ml5BMl5BanBnXkFtZTgwMzc1MzIwMjI@._V1_SX300.jpg,Well Go USA Entertainment,4/28/2017,2016,96 min,Buster's Mal Heart,Rami Malek|DJ Qualls|Kate Lyn Sheil|Lin Shaye,0,Drama|Mystery|Thriller,Sarah Adina Smith
14,18176244,USA,Dax Shepard,#N/A,tt0493405,5.6,3250,English|Spanish,R,"A rookie officer is teamed with a hardened pro at the California Highway Patrol, though the newbie soon learns his partner is really an undercover Fed investigating a heist that may involved some crooked cops.",https://images-na.ssl-images-amazon.com/images/M/MV5BZTliN2IyMTctYTliOS00ZTJiLTkxN2YtNDg1YTJiZTA4MTVlL2ltYWdlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,Warner Bros. Pictures,3/24/2017,2017,100 min,CHIPS,Michael Peña|Dax Shepard|Jessica McNamee|Adam Brody,1,Action|Comedy|Crime,Dax Shepard|Rick Rosner 
15,0,USA,Jiaqi Lin,#N/A,tt5050456,0,0,#N/A,#N/A,"Max, who has autism, encounters his first love.",#N/A,#N/A,#N/A,2014,5 min,Can't Help Falling in Love,Murali Chand|Jordan Jackson|Shigeru Mitani,0,Short|Music,#N/A
16,0,USA,Brian Fee,#N/A,tt3606752,0,0,English,#N/A,Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0NzU2OTYyN15BMl5BanBnXkFtZTgwMTkwOTg2MTI@._V1_SX300.jpg,Pixar Animation Studios,6/16/2017,2017,#N/A,Cars 3,Armie Hammer|Nathan Fillion|Owen Wilson|Kerry Washington,0,Animation|Adventure|Comedy,#N/A
17,0,USA,Jamal Joseph,#N/A,tt3946960,7.7,7,English,#N/A,"Upon his return from serving a ten-year sentence in prison, reformed gang leader, S. Lance Ingram, struggles to adapt to a changed Harlem. Unable to use the technological skills he acquired...",https://images-na.ssl-images-amazon.com/images/M/MV5BMjM4ZDdlZjUtZjcxOC00NTc5LWFmNDYtNWE1ODc5MjFiZjQzXkEyXkFqcGdeQXVyNjg2NzE5Njc@._V1_SX300.jpg,#N/A,9/26/2015,2015,97 min,Chapter & Verse,Daniel Beaty|Loretta Devine|Omari Hardwick|Selenis Leyva,1,Drama,Daniel Beaty|Daniel Beaty|Jamal Joseph
18,0,USA,Philippe Falardeau,#N/A,tt1610525,7.3,194,English,R,A drama inspired by the life of heavyweight boxer Chuck Wepner.,https://images-na.ssl-images-amazon.com/images/M/MV5BYjNkODgyYTItNTY4OC00YzRjLWE0NmQtMGU2NTE1YWI4ZTI5XkEyXkFqcGdeQXVyNjg2MDY0Mzk@._V1_SX300.jpg,IFC Films,5/5/2017,2016,101 min,Chuck,Naomi Watts|Ron Perlman|Elisabeth Moss|Liev Schreiber,1,Drama|Sport,Jeff Feuerzeig|Jerry Stahl|Michael Cristofer|Liev Schreiber
19,0,USA,Matt Tyrnauer,#N/A,tt3699354,7.3,22,English,#N/A,Writer and urban activist Jane Jacobs fights to save historic New York City during the ruthless redevelopment era of urban planner Robert Moses in the 1960s.,https://images-na.ssl-images-amazon.com/images/M/MV5BNjU1MTE3OTYyMF5BMl5BanBnXkFtZTgwMzIwNTQwMjI@._V1_SX300.jpg,#N/A,4/21/2017,2016,92 min,Citizen Jane: Battle for the City,Thomas Campanella|Mindy Fullilove|Alexander Garvin|Paul Goldberger,0,Documentary,#N/A
20,2196654,UK|Germany|China,Eran Creevy,#N/A,tt2126235,5.7,7252,English|German,PG-13,"An American backpacker gets involved with a ring of drug smugglers as their driver, though he winds up on the run from his employers across Cologne high-speed Autobahn.",https://images-na.ssl-images-amazon.com/images/M/MV5BNjRhMGI3ZGItZTMzMS00NzdmLWI1MzMtNjk0ZmY5ZjMyZDdkL2ltYWdlXkEyXkFqcGdeQXVyNTQ3MjE4NTU@._V1_SX300.jpg,Open Road Films,2/24/2017,2016,99 min,Collide,Nicholas Hoult|Felicity Jones|Anthony Hopkins|Ben Kingsley,1,Action|Crime|Thriller,F. Scott Frazier |Eran Creevy |F. Scott Frazier 
21,2091568,Canada|Spain,Nacho Vigalondo,#N/A,tt4680182,6.4,7225,English,R,"Gloria is an out-of-work party girl forced to leave her life in New York City, and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2NTExOTA2MF5BMl5BanBnXkFtZTgwNTMwMjE2MTI@._V1_SX300.jpg,NEON,4/21/2017,2016,109 min,Colossal,Anne Hathaway|Jason Sudeikis|Austin Stowell|Tim Blake Nelson,1,Action|Comedy|Drama,Nacho Vigalondo
22,0,USA,Kyle Balda|Pierre Coffin|Eric Guillon,#N/A,tt3469046,0,0,English|Vietnamese,#N/A,"Balthazar Bratt, a child star from the 1980's, hatches a scheme for world domination.",https://images-na.ssl-images-amazon.com/images/M/MV5BNjUyNzQ2MTg3Ml5BMl5BanBnXkFtZTgwNzE4NDM3MTI@._V1_SX300.jpg,Universal Pictures,6/30/2017,2017,#N/A,Despicable Me 3,Jenny Slate|Kristen Wiig|Steve Carell|Steve Coogan,0,Animation|Action|Adventure,Ken Daurio |Ken Daurio |Cinco Paul |Cinco Paul 
23,0,USA,David Bowers,#N/A,tt6003368,0,0,English,#N/A,"Greg convinces his family to take a road trip to attend his great grandmother's 90th birthday as a cover for what he really wants: to attend a nearby gamer convention. Unsurprisingly, ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwMjc3NjExMl5BMl5BanBnXkFtZTgwMzIwNDU1MTI@._V1_SX300.jpg,Twentieth Century Fox,5/19/2017,2017,#N/A,Diary of a Wimpy Kid: The Long Haul,Alicia Silverstone|Charlie Wright|Alexa Blair Robertson|Tom Everett Scott,0,Comedy|Family,David Bowers |Jeff Kinney |Jeff Kinney |Adam Sztykiel
24,0,USA,Hunter Adams,3/24/2017,tt2633076,5.8,303,English,#N/A,A girl's obsession with her brother's disappearance leads her on a nightmarish journey through a small town's Gothic landscape where she is faced with a deadly proposition. How far will she go to save the people she loves?,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1MDAwNjU5MF5BMl5BanBnXkFtZTgwOTUyOTYzNzE@._V1_SX300.jpg,Area 23a,3/24/2017,2014,85 min,Dig Two Graves,Ted Levine|Samantha Isler|Danny Goldring|Troy Ruptash,0,Fantasy|Horror|Mystery,Hunter Adams |Hunter Adams|Jeremy Phillips
25,59213,USA,Kris Avedisian,#N/A,tt4442604,6.9,209,English,#N/A,"With sudden passing of his grandmother, Peter Latang returns to his hometown and encounters his long lost, childhood friend, Donald Treebeck. What begins as a simple favor, turns into a long day's journey into the past.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyNjU2MzMzMl5BMl5BanBnXkFtZTgwNTUwNTcxMTI@._V1_SX300.jpg,Electric Chinoland,3/12/2016,2016,85 min,Donald Cried,Jesse Wakeman|Louisa Krause|Tyrone Alcorn|Ted Arcidi,1,Comedy|Drama,Kris Avedisian|Kris Avedisian |Kyle Espeleta |Jesse Wakeman 
26,0,UK,Lloyd Stanton|Paul Toogood,#N/A,tt5068712,6.2,45,English,#N/A,"The craft, creative process and complicated lives of stand-up comedians.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjQyMTY0NzMwOF5BMl5BanBnXkFtZTgwNjUzNzg4MDI@._V1_SX300.jpg,#N/A,2/24/2017,2016,89 min,Dying Laughing,Stephen K. Amos|Dave Attell|Sandra Bernhard|Frankie Boyle,0,Documentary|Comedy,#N/A
27,0,USA,Stella Meghie,#N/A,tt5001718,0,0,English,PG-13,"A teenager who's lived a sheltered life because she's allergic to everything, falls for the boy who moves in next door.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjAzMTE1NzQxNF5BMl5BanBnXkFtZTgwNjcwODY3MTI@._V1_SX300.jpg,#N/A,5/19/2017,2017,96 min,"Everything, Everything",Amandla Stenberg|Nick Robinson|Anika Noni Rose|Ana de la Reguera,1,Drama|Romance,J. Mills Goodloe |Nicola Yoon 
28,114376885,USA,James Foley,5/9/2017,tt4465564,4.7,37199,English,R,"While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5NTk0Njg2N15BMl5BanBnXkFtZTgwNzk5Nzk3MDI@._V1_SX300.jpg,Universal Pictures,2/10/2017,2017,118 min,Fifty Shades Darker,Dakota Johnson|Jamie Dornan|Eric Johnson|Eloise Mumford,0,Drama|Romance,Niall Leonard |E.L. James 
29,32153522,USA,Richie Keen,#N/A,tt3401882,5.8,5377,English,R,"When one school teacher unwittingly causes another teacher's dismissal, he is challenged to an after-school fight.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0NzkyMjE5NF5BMl5BanBnXkFtZTgwMDE5NTg3MDI@._V1_SX300.jpg,Warner Bros. Pictures,2/17/2017,2017,91 min,Fist Fight,Charlie Day|Ice Cube|Tracy Morgan|Jillian Bell,1,Comedy,Van Robichaux |Evan Susser |Van Robichaux |Evan Susser |Max Greenfield 
30,0,USA,Jeff Grace,#N/A,tt3212910,7.4,68,English,#N/A,A successful singer-songwriter hatches a plan to help his friend's struggling comedy career and broken love life by hiring him as his opening act on his solo tour.,https://images-na.ssl-images-amazon.com/images/M/MV5BYzM2YWVmYmItODk2MC00MjQ2LWIyNWEtNDVlMDgwOTlmMjczXkEyXkFqcGdeQXVyNjIxNDQwMTI@._V1_SX300.jpg,#N/A,5/12/2017,2016,88 min,Folk Hero & Funny Guy,Alex Karpovsky|Wyatt Russell|Meredith Hagner|Melanie Lynskey,1,Comedy,Jeff Grace
32,0,USA,Vlad Yudin,#N/A,tt6263642,0,0,English,#N/A,Filmmaker Vlad Yudin follows several body builders as they struggle to find success in a competitive industry.,https://images-na.ssl-images-amazon.com/images/M/MV5BZWQ2ZWI0MDUtNmQ0NC00YjJjLTlkMWMtODg5YzgxYjAyYjc5XkEyXkFqcGdeQXVyNDMxNTQ3MTk@._V1_SX300.jpg,#N/A,5/12/2017,2017,106 min,Generation Iron 2,Kai Greene|Rich Piana|Calum Von Moger|Iris Kyle,0,Documentary,Vlad Yudin
33,173836140,USA,Jordan Peele,#N/A,tt5052448,8,77121,English,R,A young African-American man visits his Caucasian girlfriend's mysterious family estate.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTE2Nzg1NjkzNV5BMl5BanBnXkFtZTgwOTgyODMyMTI@._V1_SX300.jpg,Universal Pictures,2/24/2017,2017,104 min,Get Out,Daniel Kaluuya|Allison Williams|Catherine Keener|Bradley Whitford,0,Horror|Mystery,Jordan Peele
34,40252290,USA|UK|India|China|Canada|New Zealand,Rupert Sanders,#N/A,tt1219827,6.8,44127,English|Japanese,PG-13,"In the near future, Major is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",https://images-na.ssl-images-amazon.com/images/M/MV5BMzJiNTI3MjItMGJiMy00YzA1LTg2MTItZmE1ZmRhOWQ0NGY1XkEyXkFqcGdeQXVyOTk4MTM0NQ@@._V1_SX300.jpg,Paramount Pictures,3/31/2017,2017,107 min,Ghost in the Shell,Scarlett Johansson|Pilou Asbæk|Takeshi Kitano|Juliette Binoche,1,Action|Crime|Drama,Shirow Masamune |Jamie Moss |William Wheeler |Ehren Kruger 
35,4449330,USA,Marc Webb,#N/A,tt4481414,7.8,1485,English,PG-13,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ2NDU3NDE0M15BMl5BanBnXkFtZTgwMjA3OTg0MDI@._V1_SX300.jpg,Fox Searchlight Pictures,4/12/2017,2017,101 min,Gifted,Chris Evans|Mckenna Grace|Lindsay Duncan|Jenny Slate,1,Drama,Tom Flynn
36,0,USA,Jedd Wider|Todd Wider,#N/A,tt5073020,8.2,20,English,#N/A,"The body of a homeless woman is found in an abandoned New Hampshire farmhouse. Beside the body, lies a diary that documents a journey of starvation and the loss of sanity, but told with ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyODIyMzk5M15BMl5BanBnXkFtZTgwMDYzNDcwODE@._V1_SX300.jpg,#N/A,5/1/2016,2016,97 min,God Knows Where I Am,Paul Appelbaum|Joan Bishop|Doug Bixby|Kevin Carbone,1,Documentary|Biography|Drama,#N/A
37,0,USA,Zach Braff,#N/A,tt2568862,6.8,7019,English,PG-13,"Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5Mzg3NjI4OF5BMl5BanBnXkFtZTgwNzA3Mzg4MDI@._V1_SX300.jpg,Warner Bros. Pictures,4/7/2017,2017,96 min,Going in Style,Joey King|Morgan Freeman|Peter Serafinowicz|Ann-Margret,1,Comedy|Crime,Theodore Melfi |Edward Cannon 
39,0,USA,DJ Pooh,#N/A,tt4274656,7.2,80,English,R,Two guys start a risky new business to pay off a debt.,https://images-na.ssl-images-amazon.com/images/M/MV5BNmI5NDM0MTYtNDlhNi00YTE4LWExMjQtZjk3ZGRhOTE0YTUzXkEyXkFqcGdeQXVyMjI5MDIxOTY@._V1_SX300.jpg,#N/A,4/20/2017,2017,96 min,Grow House,Malcolm McDowell|Snoop Dogg|DeRay Davis|Lil Duval,1,Comedy,DJ Pooh
40,14867,USA,Frank Lotito,#N/A,tt1105355,7.7,164,English,PG-13,"In 1979, an Indian family moves to America with hopes of living the American Dream. While their 10-year-old boy Smith falls head-over-heels for the girl next door, his desire to become a ""good old boy"" propels him further away from his family's ideals than ever before.",https://images-na.ssl-images-amazon.com/images/M/MV5BOWI0MmZmN2MtMzczMy00Y2NlLWE2MzgtMWM0YTlmY2Y5MTczXkEyXkFqcGdeQXVyMDExMDMxOA@@._V1_SX300.jpg,Good Deed Entertainment,2/3/2017,2015,102 min,Growing Up Smith,Jason Lee|Anjul Nigam|Brighton Sharbino|Hilarie Burton,1,Comedy|Drama|Family,Gregory Scott Houghton |Gregory Scott Houghton|Anjul Nigam |Anjul Nigam|Paul Quinn |Paul Quinn
41,145049000,USA,James Gunn,#N/A,tt3896198,8.2,80269,English,PG-13,"Set to the backdrop of Awesome Mixtape #2, 'Guardians of the Galaxy Vol. 2' continues the team's adventures as they unravel the mystery of Peter Quill's true parentage.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2MzI1MTg3OF5BMl5BanBnXkFtZTgwNTU3NDA2MTI@._V1_SX300.jpg,Walt Disney Pictures,5/5/2017,2017,136 min,Guardians of the Galaxy Vol. 2,Chris Pratt|Zoe Saldana|Dave Bautista|Vin Diesel,1,Action|Adventure|Sci-Fi,James Gunn
42,0,USA,Daniel Raim,#N/A,tt4683668,8.8,47,English,#N/A,"Harold and Lillian eloped to Hollywood in 1947, where they became the film industry's secret weapons. Nobody talked about them, but everybody wanted them. Theirs is the greatest story never told-until now.",http://ia.media-imdb.com/images/M/MV5BMjMyNTE5MTMzNl5BMl5BanBnXkFtZTgwNDgzMjE4NTE@._V1_SX300.jpg,Adama Films,4/9/2016,2015,94 min,Harold and Lillian: A Hollywood Love Story,Lillian Michelson|Harold Michelson|Danny DeVito|Mel Brooks,1,Documentary|Biography,Daniel Raim
43,0,USA,Ken Marino,#N/A,tt4795124,5.7,168,English|Spanish,PG-13,"Finding himself dumped after 25 years of marriage, a man who made a career of seducing rich older women must move in with his estranged sister, where he begins to learn the value of family.",https://images-na.ssl-images-amazon.com/images/M/MV5BYTAwZDk5NzItM2U0MS00NDUxLTgwMDAtNzVmZDMxMzMxMWYxXkEyXkFqcGdeQXVyNTAwODk1NzY@._V1_SX300.jpg,Pantelion Films,4/28/2017,2017,115 min,How to Be a Latin Lover,Eugenio Derbez|Salma Hayek|Rob Lowe|Kristen Bell,1,Comedy,Chris Spain|Jon Zack
44,7014658,France|USA,Raoul Peck,5/2/2017,tt5804038,7.4,4065,English,PG-13,"Writer James Baldwin tells the story of race in modern America with his unfinished novel, Remember This House.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyNzIzMTk3Ml5BMl5BanBnXkFtZTgwNDE1Nzc1MDI@._V1_SX300.jpg,Magnolia Pictures,2/17/2017,2016,93 min,I Am Not Your Negro,Samuel L. Jackson|James Baldwin|Harry Belafonte|Marlon Brando,0,Documentary,James Baldwin |Raoul Peck 
45,8544,Sweden|USA,Kasper Collin,#N/A,tt4170344,7.5,90,English,#N/A,"An exploration of the relationship between jazz trumpeter Lee Morgan and his wife Helen, who was implicated in his murder in 1972.",https://images-na.ssl-images-amazon.com/images/M/MV5BOGM5NjAxMmQtNzU3NC00YzllLTgwNDItNWI1YzkzMjAyYTk4XkEyXkFqcGdeQXVyNTU5NDMxNjM@._V1_SX300.jpg,Kasper Collin Produktion,3/24/2017,2016,92 min,I Called Him Morgan,Lee Morgan|Helen Morgan|Wayne Shorter|Larry Reni Thomas,1,Documentary|Drama|History,Kasper Collin
46,0,USA,James Franco,#N/A,tt4411618,6.2,1310,English,R,An activist gets caught up in the labor movement for farm workers in California during the 1930s.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzMzQ0NzYxMl5BMl5BanBnXkFtZTgwODE5NTAzMTI@._V1_SX300.jpg,Momentum Pictures,2/17/2017,2016,110 min,In Dubious Battle,Nat Wolff|James Franco|Vincent D'Onofrio|Selena Gomez,1,Drama,Matt Rager |John Steinbeck 
47,13956862,Chile|France|USA|Hong Kong,Pablo Larraín,3/7/2017,tt1619029,6.9,40018,English|Spanish,R,"Following the assassination of President John F. Kennedy, First Lady Jacqueline Kennedy fights through grief and trauma to regain her faith, console her children, and define her husband's historic legacy.",https://images-na.ssl-images-amazon.com/images/M/MV5BMzg4MjYzNjk5N15BMl5BanBnXkFtZTgwODgwODI3MDI@._V1_SX300.jpg,Fox Searchlight Pictures,12/2/2016,2016,100 min,Jackie,Natalie Portman|Peter Sarsgaard|Greta Gerwig|Billy Crudup,1,Biography|Drama|History,Noah Oppenheim
48,55588120,USA,Chad Stahelski,6/13/2017,tt4425200,8.1,79770,English|Italian,R,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2NDkxNTY2M15BMl5BanBnXkFtZTgwMDc2NzE0MTI@._V1_SX300.jpg,Summit Entertainment,2/10/2017,2017,122 min,John Wick: Chapter 2,Keanu Reeves|Riccardo Scamarcio|Ian McShane|Ruby Rose,0,Action|Crime|Thriller,Derek Kolstad|Derek Kolstad 
49,0,UK|Australia|USA,Guy Ritchie,#N/A,tt1972591,0,0,English,PG-13,"Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjM3ODY3Njc5Ml5BMl5BanBnXkFtZTgwMjQ5NjM5MTI@._V1_SX300.jpg,Warner Bros. Pictures,5/12/2017,2017,126 min,King Arthur: Legend of the Sword,Charlie Hunnam|Jude Law|Annabelle Wallis|Hermione Corfield,1,Action|Adventure|Drama,Joby Harold |Guy Ritchie |Lionel Wigram |David Dobkin |Joby Harold 
50,165487121,USA|China|Australia|Canada,Jordan Vogt-Roberts,#N/A,tt3731562,7,76590,English|Vietnamese,PG-13,"A team of scientists explore an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwMzI5ODEwNF5BMl5BanBnXkFtZTgwNjAzNjI2MDI@._V1_SX300.jpg,Warner Bros. Pictures|Legendary Pictures,3/10/2017,2017,118 min,Kong: Skull Island,Tom Hiddleston|Samuel L. Jackson|Brie Larson|John C. Reilly,1,Action|Adventure|Fantasy,Dan Gilroy |Max Borenstein |Derek Connolly |John Gatins 
